State,District,Case Number,Name,Description,Email,Frequency,Alert Times
California,Southern District,3:26-CV-00397,alt1,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
California,Northern District,3:26-CV-00940,alt2,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
California,Eastern District,1:26-CV-00795,alt3,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
California,Central District,2:26-CV-00348,alt4,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
California,Central District,2:25-CV-11911,alt5,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
California,Central District,2:26-CV-00548,alt6,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
New York,Western District,6:26-CV-06005,alt7,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
New York,Southern District,1:26-CV-01337,alt8,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
New York,Northern District,1:25-CV-01815,alt9,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
New York,Northern District,9:26-CV-00125,alt10,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
New York,Eastern District,1:25-CV-06874,alt11,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
New York,Eastern District,1:26-CV-00547,alt12,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
Texas,Western District,1:25-CV-01973,alt13,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
Texas,Western District,5:26-CV-01034,alt14,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
Texas,Southern District,2:26-CV-00053,alt15,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
Texas,Southern District,2:26-CV-00007,alt16,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
Texas,Northern District,3:26-CV-00310,alt17,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
Texas,Northern District,3:25-CV-03565,alt18,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
Texas,Eastern District,4:26-CV-00187,alt19,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
Texas,Eastern District,9:26-CV-00115,alt20,,vidit.vaibhav@thomsonreuters.com,daily,5am|12pm|3pm|5pm
